,voter,created,ipfs,vp,choice
190,0x423325991513d405cdD0bc2D0634722843D29728,1633983137,QmX1ceRGenZQaFxhJJDDbKhCoZ2mAcxorm2HWxbu7obBpy,1500000.0,2.0
191,0x729442D6001e5A4542C3edC851Ad1aa7aB5ACC49,1633983069,QmP8rKVHNxLYw3g9Eszuys9FLPpRHJdHTgd6yCBDb8NdWV,1317639.7856,2.0
192,0x423325991513d405cdD0bc2D0634722843D29728,1633983066,QmNUZx2dm4JWTcdK84LuGXs6qqNP21dFuZk8zs9L6zHJeR,1500000.0,1.0
193,0x423325991513d405cdD0bc2D0634722843D29728,1633983010,QmTNyix4ouZVw6TvZH7HqmAJ8bGgL9BngN1fiW6DEevTDG,1500000.0,2.0
194,0x423325991513d405cdD0bc2D0634722843D29728,1633982972,QmQCYwhzWDC2Higc9j436WRJHk8aSuiyi1DCVvqJxiRUwQ,1500000.0,2.0
195,0x729442D6001e5A4542C3edC851Ad1aa7aB5ACC49,1633982959,QmaTWi67e31Zs2eRvt5L8huTvisfdgeEGyVuMf5tipeUf3,1317639.7856,2.0
196,0x423325991513d405cdD0bc2D0634722843D29728,1633982934,QmWc7ZYDUh6atLVu2ruyw1tu7xLcBJzyTGzqWKT9ybxJzq,1500000.0,2.0
197,0x423325991513d405cdD0bc2D0634722843D29728,1633982766,Qmau123vzY4YMSiTSRajhL3aKSTXGKt4yJ7eAfuZpQ7uwr,1500000.0,2.0
198,0xbdD5d655ad781FB9929BFe515EB4A50090444C21,1633982632,QmNRb1WbcQXdEi1fuEjSs2Dy8RC6boySyEZP2nmqHGyzmN,1063215.6188616776,2.0
199,0xbdD5d655ad781FB9929BFe515EB4A50090444C21,1633982564,QmSGDs9t8uc42iNQD22G9NkfsW8Y6vnXZs3b6NKC3TJ2NU,1063215.6188616776,2.0
200,0xbdD5d655ad781FB9929BFe515EB4A50090444C21,1633982536,QmWivwkV44jrVRWjQ3k2etUbiYk9ojfQG6j6RrP1uQ9Nwf,1063215.6188616776,2.0
201,0xe806081070459bBc343AA82CD2033E7D4DB5D7dD,1633981720,QmXSFgNKQVWYYERoPXmDTeGUmUWs4kDoAoSCKpe7p1E9yC,400000.0,2.0
202,0xe806081070459bBc343AA82CD2033E7D4DB5D7dD,1633981657,QmU7AqDYBxddmDUs52rHXQuNcY5CW87o7AbwcaTMXdoMyd,400000.0,2.0
203,0xe806081070459bBc343AA82CD2033E7D4DB5D7dD,1633981615,QmPbcYoTybCmBLnMRySHWxxG63ZDLhxqULpAZvEQVQbiER,400000.0,2.0
204,0xe806081070459bBc343AA82CD2033E7D4DB5D7dD,1633981581,QmVAYGUdHwSE4SN9op2dgN7eQJVbv4UBXWDyCkWc89NAfG,400000.0,2.0
205,0xe806081070459bBc343AA82CD2033E7D4DB5D7dD,1633981544,QmY3KzM7xDASgGStFBoTGVNj7QQrKuiQMcyRDQLPqdDchb,400000.0,2.0
206,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633980813,QmRgHMhi29Tnz8tsUFSCHGg2XtvMXPdYQ9sFzoYoFdhLyY,6357.323238001901,1.0
207,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633980715,QmZhTjgUCzzf8doPGbobDADacqoq458Ghi5NEKbqVGHxuv,6357.323238001901,1.0
208,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633980660,QmXDGZgXvgz4XmNwhLoMXr6gLmPo96po9xxPgoj1NEu49D,6357.323238001901,1.0
209,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633980596,QmUN4iGhvKSVJYK5Cf2HejmHsWa9fkqV46QnUHepFozw9o,6357.323238001901,1.0
210,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633980556,QmV7ezvgQTzfBxrmnArpdA7UGFk4r73XivzxRdhCq7KPX6,6357.323238001901,1.0
211,0x729442D6001e5A4542C3edC851Ad1aa7aB5ACC49,1633980539,QmTbXHwTwqPADVbfZLxK71E31UFnvVvWtkT3qcRKMVYJnF,1317639.7856,2.0
212,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633980493,QmaGzCSqGoFzHXZdUgEdsdkEN1EKWiExEMbrwpUsAkQMGG,5997.87,2.0
213,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633980470,QmU9sDjWhs2gvpA4qvcfWhnN8cz9gadCCZQiG8nybxcwzi,6357.323238001901,1.0
214,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633980450,QmNULptroz1AbYitPd5775P4A3xgMTJZZXyc39msuSSAai,6357.323238001901,1.0
215,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633980337,QmWG6MUXwoWmhM9ZEsUhgUDbxn9GZExBbUyz3Ussw9NTg9,5997.87,1.0
216,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633980090,QmU2mPiR4sqkWg7Y2fVHpzEd67AhGcBNx7Wn511V34uy4q,5997.87,1.0
217,0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,1633980038,QmeCQX2LFfqvet93nWneASvUQXUcpdYf7jgiJyxLJYkojn,6357.323238001901,1.0
